"","grades"
"1",3.23863571723949
"2",3.61742218732952
"3",4.02073021649579
"4",3.3851005765632
"5",3.50409267426801
"6",3.73370682375093
"7",3.75818138184292
"8",3.95583002277285
"9",3.96338767819672
"10",3.75606576630989
"11",3.52335449877443
"12",3.29107217906757
"13",3.86870243221927
"14",3.83868971795209
"15",3.81500145400608
"16",3.58066057068577
"17",3.64477957230464
"18",3.98078102671373
"19",3.66247171347911
"20",3.83871555877421
"21",3.60025898986462
"22",3.84085644170891
"23",3.38784791226217
"24",3.77782212322716
"25",3.88030003675445
"26",3.28587904144451
"27",3.38994594153286
"28",3.43234374331729
"29",3.77798583477172
"30",3.4314010494019
"31",3.54802646057227
"32",3.84148125446557
"33",3.49715382390098
"34",3.31313534309753
"35",3.49851628110296
"36",3.52361106083671
"37",3.59317481550937
"38",3.6278172789491
"39",3.40294142829173
"40",3.34700675330696
"41",3.58286676984288
"42",3.68417625442198
"43",3.66497914621982
"44",3.84859109601566
"45",3.97551930426621
"46",3.49708438776775
"47",3.9327088405228
"48",3.40803088953316
"49",3.42169390727305
"50",3.84715822042609
