"","X","research","marketing","morale","sales"
"1",1,1330349,1200000,3.91,5602316
"2",2,2012444,1992284,3.6,8538961
"3",3,2602607,3801005,3.21,13580673
"4",4,3984759,4688807,3.41,17455150
"5",5,3825840,4435972,3.23,16594269
"6",6,4508937,4657039,2.9,17869688
"7",7,5744070,5034378,4.44,20768484
"8",8,6130433,5515523,4.07,21753906
"9",9,5659586,5888345,5.11,22553766
"10",10,5198005,5580662,4.41,21815351
"11",11,3599928,6412257,3.56,20064310
"12",12,2200000,5944969,5.71,17770727
"13",13,2750346,5319035,5.73,17136028
"14",14,4317791,5879956,4.45,20094936
"15",15,2571648,6949308,5.76,20643041
"16",16,3206627,7823645,4.33,23800306
"17",17,6682592,8801923,5.85,30083957
"18",18,9587716,10773229,4.32,39677135
"19",19,10550686,10222405,5.63,40254227
"20",20,9866593,8005764,5.1,32726140
"21",21,9397597,7038913,4.28,29526173
"22",22,8462032,7440465,3.95,28955612
"23",23,10126804,8385921,4.62,33507334
"24",24,10149674,9237255,3.39,36456415
"25",25,8131384,10212628,4.31,36258207
"26",26,6648408,11469406,4.56,38025520
"27",27,7025905,11388533,5.05,37635897
"28",28,7563491,13649545,4.95,46279946
"29",29,6868674,14374312,3.95,44537053
"30",30,6224256,13465721,4.06,40783248
"31",31,7465331,13503598,3.27,37666184
"32",32,7298293,14770286,6.13,45936230
"33",33,6203361,15728895,6.2,48053518
"34",34,5840733,16777271,4.91,46316029
"35",35,5939739,19035507,5.46,53619014
"36",36,6532354,19990105,6.36,56058694
"37",37,8011764,19259412,5.22,59795446
"38",38,7760048,19542023,4.55,58483229
"39",39,7770433,19106542,4.95,58265622
"40",40,9043883,18578583,6.21,57008737
"41",41,8994817,19375955,5.94,58628999
"42",42,9724560,18534820,5.85,59717553
"43",43,10746904,18149734,6.72,62825924
"44",44,11088889,18296317,4.61,58342465
"45",45,10184873,19001228,5.55,56608222
"46",46,8010838,18476356,4.8,54280420
"47",47,5957576,17670179,3.87,47435576
"48",48,7039046,18653836,6.67,57805381
"49",49,9804976,19476118,5.73,59434941
"50",50,9873840,20081156,5.62,55705752
"51",51,10750297,19278147,6.48,59810481
"52",52,11082159,18426307,6.25,60490562
"53",53,10286577,17673741,5.82,55568592
"54",54,9051911,16396808,7.86,53824525
"55",55,8858771,17041698,6.3,51695087
"56",56,8802092,17690057,6.39,55983196
"57",57,9262836,18625358,6.16,55458667
"58",58,10780284,17645447,5.01,60513064
"59",59,13533567,17719221,6.62,58026282
"60",60,13586138,19198110,5.39,66253003
"61",61,12700008,19340107,5.07,61009030
"62",62,13766416,18805664,5.67,59616447
"63",63,15870589,18701750,6.72,69659620
"64",64,18779276,18458805,6.88,62706258
"65",65,20310770,18804047,4.33,70791036
"66",66,19942770,18628577,6.88,71894991
"67",67,19245004,18139058,6.4,68133691
"68",68,18655552,17018555,6.82,60933860
"69",69,20416279,15832620,5.88,66024226
"70",70,21229514,17832852,6.51,73020298
"71",71,19879364,19255264,7,73450377
"72",72,17779611,20375525,5.73,66570126
"73",73,16453083,23027477,7.92,75357175
"74",74,17819811,23516309,8.11,75275833
"75",75,16937357,24666339,6.72,83921148
"76",76,15016385,24841913,7.72,80559602
"77",77,13673409,24727978,6.39,78024744
"78",78,14652922,23080214,7.56,71168975
"79",79,15666153,21928254,5.36,68897420
"80",80,17429532,21957226,8.43,78547810
"81",81,19626042,22083798,7.71,78826928
"82",82,20108558,22253937,7.29,78570514
"83",83,21450723,21162327,6.37,83826676
"84",84,22081263,21260039,7.85,85031714
"85",85,23190913,21424690,6.97,86874590
"86",86,22834489,20239002,6.54,83345507
"87",87,22395597,21068960,7.59,75319439
"88",88,22547177,20443296,7.12,75100773
"89",89,23128974,19662365,7.23,72954319
"90",90,22759891,19599172,7.71,81833766
"91",91,20442522,21279037,7.84,84741836
"92",92,19710252,21708526,7.55,72058925
"93",93,20127142,21457507,7.87,79745663
"94",94,20360199,21206283,7.84,79715018
"95",95,20961888,20630409,6.2,73740941
"96",96,23150092,21133214,7.44,82468511
"97",97,24603533,21587159,7.42,82264598
"98",98,23384633,22741739,8.78,83661979
"99",99,23720920,22906510,8.3,83414893
"100",100,20780414,22980788,9,86048514
